SettingID,Np,Imax,Seed,Best_E_EMO_CNY,Runtime_s,StopIter
"Np=50,Imax=150",50,150,2,101895.847371055,0.3451153,18
"Np=50,Imax=150",50,150,3,161895.847371055,0.3527732,18
"Np=50,Imax=150",50,150,4,100095.847371055,0.3732452,20
"Np=50,Imax=150",50,150,5,100695.847371055,0.3213546,17
"Np=50,Imax=150",50,150,6,118095.847371055,0.344965,18
"Np=50,Imax=150",50,150,7,185895.847371055,0.3354041,18
"Np=50,Imax=150",50,150,8,149895.847371055,0.3244435,17
"Np=50,Imax=150",50,150,9,149895.847371055,0.3663672,20
"Np=50,Imax=150",50,150,10,127095.847371055,0.5406889,27
"Np=50,Imax=150",50,150,11,149895.847371055,0.5386537,27
"Np=50,Imax=150",50,150,12,185895.847371055,0.3800286,19
"Np=50,Imax=150",50,150,13,185895.847371055,0.3685303,19
"Np=50,Imax=150",50,150,14,127095.847371055,0.3297731,17
"Np=50,Imax=150",50,150,15,152895.847371055,0.374191,19
"Np=50,Imax=150",50,150,16,89895.8473710552,0.3579013,18
"Np=50,Imax=150",50,150,17,128895.847371055,0.3255144,17
"Np=50,Imax=150",50,150,18,103095.847371055,0.330282,17
"Np=50,Imax=150",50,150,19,158895.847371055,0.3777081,19
"Np=50,Imax=150",50,150,20,125895.847371055,0.421299,20
